|  N   |        A(N)         |     A(N/2)- A(N)    |       alpha^k       |     Rich error      |     Order est.      |  f comps  |
|------|---------------------|---------------------|---------------------|---------------------|---------------------|-----------|
|  4   |   0.0963528555627   |                     |                     |                     |                     |   246     |
|  8   |   0.107138879158    |   -0.010786 023595  |                     |  0.003595 34119834  |                     |   1134    |
|  16  |   0.113959604474    |  -0.0068207 253164  |    1.58136020653    |  0.002273 57510547  |   0.661166026129    |   4830    |
|  32  |    0.11731649895    |  -0.0033568 9447622 |    2.03185574188    |  0.001118 96482541  |    1.02279797698    |  19902    |
|  64  |   0.118986866406    |  -0.0016703 6745543 |    2.00967425778    |  0.000556 789151811 |    1.00696167814    |  80766    |
| 128  |   0.119822117869    | -0.00083525 1462855 |    1.99983780899    |  0.000278 417154285 |   0.999882999174    |  325374   |
| 256  |   0.120239761946    | -0.00041764 4077758 |    1.99991214371    |  0.000139 214692586 |   0.999936623689    | 1306110   |
| 512  |   0.120448589975    |  -0.0002088 2802839 |    1.9999426369     |  6.960934 27966e-05 |    0.99995862068    | 5233662   |
| 1024 |   0.120553005662    | -0.00010441 5687216 |    1.9999679546     |  3.480522 90721e-05 |   0.999976883945    | 20953086  |
| 2048 |   0.120605213943    |  -5.2208280 851e-05 |    1.99998325006    |  1.740276 02837e-05 |   0.999987917419    | 83849214  |
| 4096 |   0.120631318182    | -2.61042389 934e-05 |    1.99999244813    |  8.701412 99779e-06 |   0.999994552468    |335470590  |
| 8192 |   0.120644370273    | -1.30520913 764e-05 |    2.00000430894    |  4.350697 12546e-06 |    1.00000310824    |1342029822 |
|16384 |   0.120650896099    | -6.52582600 519e-06 |    2.00006732726    |  2.175275 33506e-06 |    1.00004856554    |5368414206 |
|32768 |   0.120654158096    | -3.26199698 113e-06 |    2.00056163232    |  1.087332 32704e-06 |    1.00040507521    |21474246654|
|65536 |    0.12065578548    | -1.62738400 789e-06 |    2.00444207718    |  5.42461335962e-07  |    1.0032007282     |85898166270|
